Designator,Mid X,Mid Y,Rotation,Layer
C1,224.548679,-109.94937,0.0,top
C10,187.044058,-111.735305,180.0,top
C11,187.044058,-112.92593,180.0,top
C12,187.04396,-114.116561,180.0,top
C13,187.04396,-116.497813,180.0,top
C14,187.04396,-108.163431,180.0,top
C15,187.04396,-109.354057,180.0,top
C16,187.04396,-110.544683,180.0,top
C2,222.76274,-115.9025,180.0,top
C23,124.267656,-109.354057,180.0,top
C24,123.978595,-111.735309,180.0,top
C25,123.978595,-106.972805,0.0,top
C3,184.192625,-107.568125,180.0,top
C4,195.503655,-106.972805,180.0,top
C5,187.04396,-115.307187,180.0,top
C6,208.244602,-109.354057,0.0,top
C7,208.244602,-108.163431,0.0,top
C8,208.244602,-106.972805,0.0,top
C9,187.04396,-106.972805,180.0,top
D1,105.37075,-123.99875,90.0,bottom
D10,162.52075,-123.99875,90.0,bottom
D11,172.04575,-143.04875,90.0,bottom
D12,172.04575,-162.09875,90.0,bottom
D13,181.57075,-123.99875,90.0,bottom
D14,191.09575,-143.04875,90.0,bottom
D15,191.09575,-162.09875,90.0,bottom
D16,200.62075,-123.99875,90.0,bottom
D17,210.14575,-143.04875,90.0,bottom
D18,210.14575,-162.09875,90.0,bottom
D19,219.67075,-123.99875,90.0,bottom
D2,124.42075,-123.99875,90.0,bottom
D20,229.19575,-143.04875,90.0,bottom
D21,229.19575,-162.09875,90.0,bottom
D22,238.72075,-123.99875,90.0,bottom
D23,248.24575,-143.04875,90.0,bottom
D24,248.24575,-162.09875,90.0,bottom
D25,257.77075,-123.99875,90.0,bottom
D26,267.29575,-143.04875,90.0,bottom
D27,267.29575,-162.09875,90.0,bottom
D28,276.82075,-123.99875,90.0,bottom
D29,286.34575,-143.04875,90.0,bottom
D3,143.47075,-123.99875,90.0,bottom
D30,286.34575,-162.09875,90.0,bottom
D31,295.87075,-123.99875,90.0,bottom
D32,305.39575,-143.04875,90.0,bottom
D33,305.39575,-162.09875,90.0,bottom
D34,106.2645,-114.711875,180.0,top
D37,314.92075,-123.99875,90.0,bottom
D38,324.44575,-143.04875,90.0,bottom
D39,324.44575,-162.09875,90.0,bottom
D4,104.180125,-152.811875,0.0,bottom
D40,333.97075,-123.99875,90.0,bottom
D41,343.49575,-143.04875,90.0,bottom
D42,348.25825,-171.861875,0.0,bottom
D43,107.752,-190.911875,0.0,bottom
D44,110.13325,-200.19875,90.0,bottom
D45,143.47075,-181.386875,90.0,bottom
D46,133.94575,-200.19875,90.0,bottom
D47,162.52075,-181.14875,90.0,bottom
D48,157.75825,-200.436875,90.0,bottom
D49,181.57075,-181.14875,90.0,bottom
D5,133.94575,-143.04875,90.0,bottom
D50,225.623875,-200.19875,90.0,bottom
D51,200.62075,-181.14875,90.0,bottom
D52,300.63325,-200.19875,90.0,bottom
D53,219.67075,-181.14875,90.0,bottom
D54,324.44575,-200.19875,90.0,bottom
D55,238.72075,-181.14875,90.0,bottom
D56,343.49575,-200.19875,90.0,bottom
D57,257.77075,-181.14875,90.0,bottom
D58,364.927,-200.19875,90.0,bottom
D59,276.82075,-181.14875,90.0,bottom
D6,152.99575,-143.04875,90.0,bottom
D61,295.87075,-181.14875,90.0,bottom
D63,314.92075,-181.14875,90.0,bottom
D67,350.6395,-181.14875,90.0,bottom
D7,105.37075,-171.861875,0.0,bottom
D71,351.830125,-133.761875,0.0,bottom
D72,367.30825,-143.04875,90.0,bottom
D8,133.94575,-162.09875,90.0,bottom
D9,152.99575,-162.09875,90.0,bottom
J1,97.036375,-109.949375,180.0,top
J2,152.99575,-109.949375,180.0,top
J4,164.902,-109.949375,180.0,top
J5,176.80825,-109.949375,180.0,top
R1,103.584827,-109.94937,270.0,top
R14,146.447363,-109.544683,90.0,top
R15,146.447363,-113.711874,90.0,top
R16,143.470798,-109.544683,270.0,top
R17,143.470798,-113.711874,90.0,top
R18,183.952,-113.661875,270.0,top
R19,140.494233,-113.711874,90.0,top
R2,89.892625,-113.711875,90.0,top
R3,207.73648,-111.34437,270.0,top
R4,198.892098,-112.449683,0.0,top
R5,224.943366,-115.9025,0.0,top
R6,210.58575,-109.693126,0.0,top
R7,210.58575,-108.5025,0.0,top
S1,95.84575,-125.4275,0.0,top
S10,152.99575,-125.4275,0.0,top
S11,162.52075,-144.4775,0.0,top
S12,162.52075,-163.5275,0.0,top
S13,172.04575,-125.4275,0.0,top
S14,181.57075,-144.4775,0.0,top
S15,181.57075,-163.5275,0.0,top
S16,191.09575,-125.4275,0.0,top
S17,200.62075,-144.4775,0.0,top
S18,200.62075,-163.5275,0.0,top
S19,210.14575,-125.4275,0.0,top
S2,114.89575,-125.4275,0.0,top
S20,219.67075,-144.4775,0.0,top
S21,219.67075,-163.5275,0.0,top
S22,229.19575,-125.4275,0.0,top
S23,238.72075,-144.4775,0.0,top
S24,238.72075,-163.5275,0.0,top
S25,248.24575,-125.4275,0.0,top
S26,257.77075,-144.4775,0.0,top
S27,257.77075,-163.5275,0.0,top
S28,267.29575,-125.4275,0.0,top
S29,276.82075,-144.4775,0.0,top
S3,133.94575,-125.4275,0.0,top
S30,276.82075,-163.5275,0.0,top
S31,286.34575,-125.4275,0.0,top
S32,295.87075,-144.4775,0.0,top
S33,295.87075,-163.5275,0.0,top
S37,305.39575,-125.4275,0.0,top
S38,314.92075,-144.4775,0.0,top
S39,314.92075,-163.5275,0.0,top
S4,100.60825,-144.4775,0.0,top
S40,324.44575,-125.4275,0.0,top
S41,333.97075,-144.4775,0.0,top
S42,345.877,-163.5275,0.0,top
S43,105.37075,-182.5775,0.0,top
S44,98.227,-201.6275,0.0,top
S45,133.94575,-182.5775,0.0,top
S46,122.0395,-201.6275,0.0,top
S47,152.99575,-182.5775,0.0,top
S48,145.852,-201.6275,0.0,top
S49,172.04575,-182.5775,0.0,top
S5,124.42075,-144.4775,0.0,top
S50,217.2895,-201.6275,0.0,top
S51,191.09575,-182.5775,0.0,top
S52,288.727,-201.6275,0.0,top
S53,210.14575,-182.5775,0.0,top
S54,312.5395,-201.6275,0.0,top
S55,229.19575,-182.5775,0.0,top
S56,333.97075,-201.6275,0.0,top
S57,248.24575,-182.5775,0.0,top
S58,355.402,-201.6275,0.0,top
S59,267.29575,-182.5775,0.0,top
S6,143.47075,-144.4775,0.0,top
S61,286.34575,-182.5775,0.0,top
S63,305.39575,-182.5775,0.0,top
S67,341.1145,-182.5775,0.0,top
S7,100.60825,-163.5275,0.0,top
S71,350.6395,-125.4275,0.0,top
S72,355.402,-144.4775,0.0,top
S8,124.42075,-163.5275,0.0,top
S9,143.47075,-163.5275,0.0,top
SW1,236.934939,-110.544683,0.0,top
U1,116.48325,-110.818125,0.0,top
U2,192.881777,-111.735309,180.0,top
U3,202.406785,-108.758744,90.0,top
U4,217.247423,-109.991557,90.0,top
Y1,224.09274,-113.016561,270.0,top
